epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,838.947,3.88986,5.53863,4.26566,0.00062,0.01538,0.00035,2e-05,9e-05,nan,nan,nan,0.00332508,0.00332508,0.00332508
2,1075.68,2.56591,3.18803,2.83559,0.70439,0.17877,0.17014,0.08661,0.09,1.86272,2.09786,2.14965,0.0065925,0.0065925,0.0065925
3,1314.28,1.7194,1.8798,1.8623,0.50022,0.27293,0.26443,0.15467,0.15227,1.52096,1.61182,1.72727,0.00979391,0.00979391,0.00979391
4,1551.29,1.45219,1.43975,1.57466,0.59737,0.36106,0.36381,0.21284,0.21199,1.32094,1.2018,1.52362,0.009703,0.009703,0.009703
5,1788.09,1.31111,1.18442,1.44672,0.55704,0.4313,0.42951,0.25922,0.25679,1.20881,1.03732,1.42817,0.009604,0.009604,0.009604
6,2024.86,1.23967,1.06151,1.38884,0.61275,0.48396,0.49491,0.30324,0.29804,1.15605,0.93818,1.38106,0.009505,0.009505,0.009505
7,2261.29,1.18779,0.98034,1.34819,0.63363,0.52462,0.52556,0.32747,0.32,1.11226,0.8779,1.34769,0.009406,0.009406,0.009406
8,2497.55,1.1459,0.92327,1.31769,0.68216,0.55646,0.56062,0.35582,0.34501,1.07759,0.82947,1.31007,0.009307,0.009307,0.009307
9,2734.49,1.12351,0.89009,1.29957,0.69021,0.56483,0.57755,0.37013,0.35885,1.04972,0.8033,1.29082,0.009208,0.009208,0.009208
10,2970.89,1.09925,0.85752,1.2832,0.68151,0.58399,0.59575,0.38888,0.37446,1.03444,0.7716,1.27529,0.009109,0.009109,0.009109
11,3207.36,1.08024,0.82927,1.26806,0.68454,0.60813,0.61285,0.3986,0.38494,1.01276,0.75251,1.25917,0.00901,0.00901,0.00901
12,3444.19,1.06593,0.81166,1.25647,0.69968,0.61391,0.62946,0.41567,0.39971,1.00225,0.72917,1.24747,0.008911,0.008911,0.008911
13,3680.84,1.05323,0.79389,1.2475,0.70786,0.62465,0.63745,0.42557,0.40758,0.98115,0.71308,1.23299,0.008812,0.008812,0.008812
14,3919.52,1.04164,0.77624,1.23671,0.69403,0.64067,0.64845,0.43634,0.41746,0.97242,0.69366,1.22746,0.008713,0.008713,0.008713
15,4159.04,1.02796,0.76201,1.22926,0.70647,0.65289,0.65835,0.44565,0.42562,0.96161,0.67769,1.21536,0.008614,0.008614,0.008614
16,4398.12,1.02211,0.75389,1.22438,0.71003,0.66491,0.66822,0.44716,0.43157,0.95034,0.67187,1.20876,0.008515,0.008515,0.008515
17,4634.93,1.00839,0.7384,1.21702,0.72027,0.66237,0.67303,0.45441,0.43603,0.94501,0.65591,1.20321,0.008416,0.008416,0.008416
18,4870.91,1.00211,0.72808,1.2101,0.726,0.6733,0.68189,0.46467,0.44531,0.93168,0.64613,1.19512,0.008317,0.008317,0.008317
19,5106.74,0.99667,0.72181,1.20901,0.72587,0.67942,0.68692,0.47088,0.44978,0.9201,0.64112,1.18492,0.008218,0.008218,0.008218
20,5343.15,0.98862,0.71225,1.20088,0.73736,0.68492,0.69683,0.47919,0.45748,0.91447,0.62857,1.17984,0.008119,0.008119,0.008119
21,5579,0.9851,0.70822,1.2008,0.73557,0.69486,0.70448,0.48311,0.46374,0.91109,0.61997,1.17647,0.00802,0.00802,0.00802
22,5815.21,0.97649,0.69743,1.19352,0.74501,0.69433,0.70963,0.4903,0.46769,0.90542,0.61465,1.1722,0.007921,0.007921,0.007921
23,6051.42,0.97183,0.69079,1.19131,0.73408,0.70855,0.71564,0.49554,0.47203,0.89941,0.60796,1.16878,0.007822,0.007822,0.007822
24,6287.77,0.96588,0.68641,1.18882,0.74464,0.70338,0.71612,0.4986,0.47503,0.8932,0.6031,1.16365,0.007723,0.007723,0.007723
25,6523.93,0.96288,0.6807,1.18521,0.74618,0.70457,0.71856,0.50321,0.47817,0.88944,0.59734,1.16109,0.007624,0.007624,0.007624
26,6759.94,0.95896,0.67467,1.18268,0.75263,0.70906,0.72231,0.50391,0.48013,0.88619,0.59382,1.15825,0.007525,0.007525,0.007525
27,6996.35,0.95373,0.67059,1.1804,0.7479,0.71903,0.7266,0.51099,0.48484,0.88249,0.58822,1.15588,0.007426,0.007426,0.007426
28,7232.63,0.94821,0.66436,1.17568,0.75321,0.71787,0.72877,0.51179,0.48724,0.8792,0.58432,1.15349,0.007327,0.007327,0.007327
29,7469.58,0.94397,0.66119,1.17114,0.75789,0.71951,0.72999,0.51516,0.48954,0.87713,0.5815,1.15176,0.007228,0.007228,0.007228
30,7707.35,0.9422,0.65617,1.16885,0.7582,0.72331,0.73368,0.51671,0.49073,0.87386,0.57745,1.14962,0.007129,0.007129,0.007129
31,7945.15,0.93729,0.65241,1.16933,0.76209,0.72415,0.73688,0.51745,0.49346,0.87104,0.57426,1.14726,0.00703,0.00703,0.00703
32,8183.46,0.9342,0.64824,1.1664,0.76226,0.72353,0.74021,0.52109,0.4963,0.86819,0.57177,1.14524,0.006931,0.006931,0.006931
33,8419.65,0.9332,0.6464,1.16449,0.76797,0.72387,0.74107,0.52315,0.49707,0.86657,0.56892,1.14394,0.006832,0.006832,0.006832
34,8655.45,0.92933,0.64275,1.16372,0.76494,0.72808,0.74176,0.52612,0.49885,0.86428,0.56644,1.14249,0.006733,0.006733,0.006733
35,8891.79,0.92429,0.63854,1.1593,0.7641,0.73071,0.74256,0.52557,0.49966,0.86246,0.56399,1.14077,0.006634,0.006634,0.006634
36,9127.89,0.92308,0.63574,1.15875,0.76525,0.73111,0.7439,0.52801,0.50093,0.86045,0.56232,1.13913,0.006535,0.006535,0.006535
37,9363.64,0.91838,0.62975,1.15431,0.76439,0.73357,0.74444,0.52864,0.50168,0.85917,0.56006,1.138,0.006436,0.006436,0.006436
38,9599.92,0.91577,0.62696,1.15331,0.76704,0.73277,0.74573,0.52959,0.50305,0.85806,0.55797,1.13706,0.006337,0.006337,0.006337
39,9836.21,0.91207,0.62377,1.15138,0.76949,0.73184,0.74724,0.53025,0.50372,0.85689,0.55665,1.13609,0.006238,0.006238,0.006238
40,10072.1,0.91145,0.62152,1.15148,0.77024,0.73357,0.74799,0.53297,0.5053,0.85582,0.55506,1.13522,0.006139,0.006139,0.006139
41,10308.6,0.90899,0.61838,1.14835,0.76952,0.73622,0.74877,0.53324,0.50582,0.85512,0.55374,1.13453,0.00604,0.00604,0.00604
42,10544.8,0.90566,0.61724,1.14674,0.76872,0.73846,0.74989,0.5346,0.50651,0.85417,0.55242,1.13377,0.005941,0.005941,0.005941
43,10782.6,0.90279,0.61266,1.14259,0.76937,0.73875,0.75042,0.53559,0.50762,0.85321,0.55133,1.13296,0.005842,0.005842,0.005842
44,11021,0.90081,0.60875,1.14167,0.77049,0.73927,0.75097,0.53567,0.50814,0.85226,0.5503,1.13226,0.005743,0.005743,0.005743
45,11259.8,0.89961,0.60882,1.14225,0.77244,0.74026,0.75169,0.53681,0.50897,0.85177,0.54935,1.13182,0.005644,0.005644,0.005644
46,11536.2,0.89916,0.60532,1.14108,0.77194,0.74224,0.752,0.53813,0.50942,0.8511,0.54858,1.13125,0.005545,0.005545,0.005545
47,11851.6,0.89618,0.60288,1.13945,0.77284,0.74215,0.75269,0.53888,0.50996,0.85035,0.54749,1.1306,0.005446,0.005446,0.005446
48,12091.2,0.89328,0.60159,1.1378,0.77209,0.74233,0.75309,0.53976,0.51078,0.84974,0.54644,1.13007,0.005347,0.005347,0.005347
49,12327.5,0.8894,0.59878,1.13634,0.77119,0.74404,0.75405,0.54081,0.51158,0.84917,0.54558,1.12958,0.005248,0.005248,0.005248
50,12563.7,0.88726,0.59572,1.13515,0.77213,0.74319,0.75465,0.54096,0.51219,0.84863,0.54478,1.12908,0.005149,0.005149,0.005149
51,12800.3,0.8867,0.59396,1.13354,0.77264,0.74473,0.75534,0.54091,0.51253,0.84798,0.54403,1.1286,0.00505,0.00505,0.00505
52,13036.5,0.88291,0.59048,1.13181,0.77319,0.74583,0.75581,0.54148,0.51302,0.84749,0.54322,1.12816,0.004951,0.004951,0.004951
53,13272.7,0.87871,0.58691,1.12947,0.77129,0.74762,0.75603,0.542,0.51366,0.84692,0.54254,1.12766,0.004852,0.004852,0.004852
54,13509,0.87639,0.58524,1.12668,0.7712,0.74866,0.75646,0.54227,0.51406,0.84649,0.54179,1.12725,0.004753,0.004753,0.004753
55,13745,0.87542,0.58386,1.12722,0.77148,0.74911,0.75698,0.54374,0.51466,0.84576,0.54096,1.12674,0.004654,0.004654,0.004654
56,13981.5,0.87618,0.58435,1.12809,0.77236,0.7485,0.75734,0.54432,0.51491,0.84519,0.54022,1.12626,0.004555,0.004555,0.004555
57,14217.9,0.87273,0.58059,1.12602,0.77353,0.74854,0.75795,0.54449,0.51521,0.84466,0.53944,1.12582,0.004456,0.004456,0.004456
58,14454.1,0.86921,0.57738,1.12393,0.77505,0.74888,0.75869,0.54432,0.51595,0.84425,0.53886,1.12545,0.004357,0.004357,0.004357
59,14690.6,0.87051,0.57504,1.1241,0.77363,0.74977,0.75914,0.54535,0.51675,0.84372,0.53806,1.12497,0.004258,0.004258,0.004258
60,14927.7,0.86665,0.57298,1.11955,0.77595,0.74817,0.7598,0.54602,0.51756,0.84318,0.53728,1.12449,0.004159,0.004159,0.004159
61,15165.4,0.86613,0.57482,1.12023,0.77524,0.74901,0.7603,0.54739,0.51819,0.8425,0.5365,1.12402,0.00406,0.00406,0.00406
62,15403.1,0.86109,0.56745,1.11587,0.77636,0.74921,0.76069,0.54788,0.51869,0.84205,0.53569,1.12358,0.003961,0.003961,0.003961
63,15641.6,0.85877,0.56621,1.11642,0.77692,0.75009,0.76108,0.54876,0.51912,0.84151,0.53502,1.12308,0.003862,0.003862,0.003862
64,15878.5,0.85848,0.56565,1.1148,0.77683,0.7507,0.7619,0.54894,0.51977,0.84111,0.53408,1.12267,0.003763,0.003763,0.003763
65,16115,0.85288,0.56316,1.11277,0.77858,0.75039,0.76234,0.54913,0.52037,0.84048,0.53331,1.12214,0.003664,0.003664,0.003664
66,16351.3,0.85542,0.56013,1.11279,0.77819,0.75107,0.76302,0.54965,0.52105,0.83987,0.53265,1.12156,0.003565,0.003565,0.003565
67,16587.4,0.84839,0.55683,1.10814,0.77935,0.75132,0.76343,0.55035,0.52148,0.83934,0.53193,1.12107,0.003466,0.003466,0.003466
68,16823.6,0.84951,0.55755,1.10958,0.77832,0.75202,0.76381,0.55064,0.52198,0.83868,0.53129,1.12048,0.003367,0.003367,0.003367
69,17059.9,0.84846,0.55539,1.10829,0.7814,0.75135,0.76436,0.55107,0.52257,0.83821,0.53054,1.12,0.003268,0.003268,0.003268
70,17295.6,0.84577,0.55432,1.10772,0.78344,0.75008,0.76489,0.55211,0.52314,0.83774,0.52989,1.11951,0.003169,0.003169,0.003169
71,17532.1,0.84253,0.5522,1.10425,0.7844,0.7499,0.76595,0.55245,0.52367,0.83732,0.52927,1.11905,0.00307,0.00307,0.00307
72,17768.1,0.84057,0.5488,1.10473,0.78478,0.75053,0.76655,0.55309,0.52426,0.83683,0.52859,1.11861,0.002971,0.002971,0.002971
73,18004,0.83869,0.54693,1.10208,0.78577,0.75054,0.76713,0.55402,0.52489,0.83644,0.52805,1.11815,0.002872,0.002872,0.002872
74,18240.7,0.83588,0.5441,1.10079,0.78518,0.7517,0.76727,0.55513,0.5252,0.83596,0.5275,1.11777,0.002773,0.002773,0.002773
75,18477.2,0.83392,0.54382,1.10165,0.78649,0.75144,0.76757,0.55548,0.52585,0.83551,0.52702,1.11735,0.002674,0.002674,0.002674
76,18713.9,0.83207,0.54166,1.09806,0.78828,0.75186,0.76833,0.5559,0.52619,0.8351,0.52655,1.11689,0.002575,0.002575,0.002575
77,18951.7,0.83107,0.54045,1.09788,0.79006,0.75047,0.76921,0.55663,0.52691,0.83475,0.52611,1.11651,0.002476,0.002476,0.002476
78,19188.8,0.82884,0.53533,1.09872,0.79282,0.74994,0.77014,0.55782,0.52736,0.83436,0.52558,1.11616,0.002377,0.002377,0.002377
79,19426.5,0.82736,0.53678,1.09691,0.79352,0.75022,0.7703,0.55868,0.52796,0.83391,0.525,1.11573,0.002278,0.002278,0.002278
80,19663.5,0.82601,0.53622,1.09611,0.79464,0.75119,0.77113,0.55872,0.52852,0.83339,0.52461,1.11528,0.002179,0.002179,0.002179
81,19899.9,0.81799,0.528,1.09109,0.7939,0.75124,0.77106,0.5598,0.52922,0.83307,0.52405,1.11491,0.00208,0.00208,0.00208
82,20135.9,0.81796,0.52815,1.08977,0.79529,0.75073,0.77138,0.55994,0.52939,0.83251,0.52356,1.11442,0.001981,0.001981,0.001981
83,20372.1,0.81784,0.52815,1.09118,0.79642,0.75067,0.77228,0.56002,0.52979,0.83204,0.52313,1.11403,0.001882,0.001882,0.001882
84,20608.5,0.8147,0.52515,1.08777,0.7953,0.75267,0.77261,0.56104,0.53036,0.83153,0.52267,1.11351,0.001783,0.001783,0.001783
85,20844.7,0.81117,0.52079,1.08642,0.79653,0.75287,0.77283,0.5621,0.53101,0.83105,0.52209,1.11309,0.001684,0.001684,0.001684
86,21080.7,0.80784,0.51886,1.08504,0.79772,0.75331,0.77323,0.56202,0.53127,0.83065,0.52172,1.1127,0.001585,0.001585,0.001585
87,21317.1,0.80723,0.51709,1.08283,0.79833,0.75263,0.77369,0.56284,0.53185,0.83041,0.5214,1.11241,0.001486,0.001486,0.001486
88,21553.4,0.80305,0.51502,1.08217,0.79967,0.75262,0.77412,0.56316,0.53225,0.82985,0.52092,1.11196,0.001387,0.001387,0.001387
89,21789.5,0.79791,0.51198,1.07678,0.80055,0.75258,0.77449,0.56352,0.53278,0.82945,0.52047,1.11157,0.001288,0.001288,0.001288
90,22025.5,0.79944,0.51102,1.07894,0.80073,0.75296,0.77481,0.56435,0.53349,0.82905,0.51995,1.11114,0.001189,0.001189,0.001189
91,22269.2,0.77211,0.47628,1.07082,0.80235,0.75239,0.77556,0.56547,0.53398,0.82874,0.51969,1.11079,0.00109,0.00109,0.00109
92,22502,0.76121,0.46824,1.06491,0.80309,0.75238,0.77712,0.56476,0.5347,0.8282,0.51916,1.11035,0.000991,0.000991,0.000991
93,22735,0.75675,0.46397,1.06005,0.77795,0.75182,0.77786,0.56605,0.53552,0.82766,0.51858,1.10989,0.000892,0.000892,0.000892
94,22968,0.75083,0.46074,1.05813,0.7772,0.75231,0.77829,0.56744,0.53607,0.82707,0.5179,1.10935,0.000793,0.000793,0.000793
95,23200.9,0.74753,0.45703,1.05427,0.77737,0.75204,0.77857,0.56786,0.53651,0.82662,0.51731,1.10889,0.000694,0.000694,0.000694
96,23433.8,0.74206,0.45371,1.04995,0.77812,0.75289,0.77903,0.56915,0.53714,0.82612,0.51669,1.10845,0.000595,0.000595,0.000595
97,23666.6,0.73883,0.4507,1.04761,0.77955,0.75196,0.77979,0.56954,0.53766,0.82553,0.51599,1.108,0.000496,0.000496,0.000496
98,23898.8,0.73481,0.44703,1.04706,0.77906,0.75339,0.77979,0.56995,0.53818,0.82498,0.51538,1.10758,0.000397,0.000397,0.000397
99,24130.8,0.7295,0.44452,1.04293,0.77833,0.75631,0.78018,0.57006,0.53886,0.82455,0.51471,1.10721,0.000298,0.000298,0.000298
100,24363.6,0.72601,0.4415,1.04029,0.7791,0.75694,0.78098,0.57074,0.5395,0.82408,0.51402,1.10686,0.000199,0.000199,0.000199
