                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                      1,                 3.2457,                  3.923,                 3.2074,               0.070074,              0.0033251,              0.0033251,                0.69246,                0.11349,                0.10208,                0.04898,                   2.27,                  2.495,                  2.427
                      2,                 1.9856,                 2.1511,                 2.0244,               0.040008,              0.0065925,              0.0065925,                 0.5514,                0.24004,                0.23266,                0.12743,                 1.7442,                 1.7238,                 1.9235
                      3,                 1.5934,                 1.5862,                 1.6594,              0.0098764,              0.0097939,              0.0097939,                0.55369,                0.32939,                0.32211,                0.18385,                 1.4521,                  1.361,                 1.6256
                      4,                 1.3836,                 1.2787,                 1.4813,               0.009703,               0.009703,               0.009703,                0.57255,                0.41181,                0.41207,                0.24053,                 1.2867,                 1.1469,                 1.4574
                      5,                 1.2632,                 1.0912,                 1.3789,               0.009703,               0.009703,               0.009703,                0.61203,                0.46468,                0.47152,                0.27816,                 1.1877,                 1.0084,                 1.3736
                      6,                 1.1952,                0.98928,                  1.327,               0.009604,               0.009604,               0.009604,                0.67015,                0.50908,                 0.5213,                0.31457,                 1.1353,                0.91139,                 1.3254
                      7,                 1.1564,                0.93495,                 1.2988,               0.009505,               0.009505,               0.009505,                0.67054,                0.53918,                0.55891,                0.33985,                 1.0924,                0.84932,                 1.2881
                      8,                 1.1198,                 0.8857,                 1.2733,               0.009406,               0.009406,               0.009406,                0.64888,                0.57123,                0.57934,                0.35482,                 1.0724,                0.81658,                 1.2708
                      9,                 1.1018,                   0.86,                 1.2597,               0.009307,               0.009307,               0.009307,                0.68227,                0.58529,                 0.6004,                0.36924,                   1.05,                0.78688,                 1.2533
                     10,                 1.0831,                0.83246,                 1.2466,               0.009208,               0.009208,               0.009208,                  0.661,                0.61531,                0.61532,                 0.3831,                 1.0268,                 0.7572,                 1.2335
                     11,                  1.064,                0.80973,                 1.2318,               0.009109,               0.009109,               0.009109,                0.68584,                0.61768,                0.63435,                0.39619,                 1.0044,                0.73783,                 1.2204
                     12,                 1.0516,                0.79541,                 1.2242,                0.00901,                0.00901,                0.00901,                0.68987,                0.63604,                0.64696,                0.40574,                0.99845,                0.71848,                 1.2087
                     13,                 1.0382,                0.77892,                 1.2135,               0.008911,               0.008911,               0.008911,                0.70005,                0.64232,                0.65244,                0.40998,                0.98536,                0.70854,                 1.2006
                     14,                 1.0338,                0.76726,                 1.2094,               0.008812,               0.008812,               0.008812,                 0.6999,                0.65834,                0.66493,                0.42385,                0.96922,                0.68926,                 1.1902
                     15,                 1.0201,                0.75388,                  1.201,               0.008713,               0.008713,               0.008713,                0.71049,                0.66296,                0.67161,                0.42925,                0.95989,                0.68328,                 1.1815
                     16,                 1.0153,                0.74711,                  1.198,               0.008614,               0.008614,               0.008614,                 0.7333,                0.66498,                0.68372,                0.43815,                0.95574,                0.66639,                 1.1754
                     17,                 1.0077,                0.73762,                 1.1925,               0.008515,               0.008515,               0.008515,                0.71956,                0.67453,                0.68743,                0.44274,                0.94762,                0.65871,                 1.1697
                     18,                 1.0004,                0.72943,                 1.1863,               0.008416,               0.008416,               0.008416,                 0.7288,                0.68145,                0.69361,                0.45029,                0.93494,                0.64923,                 1.1614
                     19,                0.99527,                0.72027,                 1.1816,               0.008317,               0.008317,               0.008317,                0.73901,                0.68305,                0.69974,                0.45612,                0.92727,                0.64001,                 1.1568
                     20,                0.98968,                 0.7158,                 1.1787,               0.008218,               0.008218,               0.008218,                0.73793,                0.69464,                0.70651,                0.46088,                0.92089,                0.63399,                 1.1514
                     21,                0.97915,                0.70587,                 1.1712,               0.008119,               0.008119,               0.008119,                0.74784,                0.69769,                0.71207,                 0.4674,                0.91798,                0.62358,                  1.147
                     22,                0.97764,                0.69757,                 1.1693,                0.00802,                0.00802,                0.00802,                0.74242,                0.70233,                0.71582,                0.46889,                0.91199,                0.62061,                 1.1426
                     23,                0.97007,                0.69323,                 1.1622,               0.007921,               0.007921,               0.007921,                  0.759,                0.69772,                0.71874,                0.47165,                0.90844,                0.61539,                 1.1396
                     24,                0.96755,                0.69014,                 1.1621,               0.007822,               0.007822,               0.007822,                0.75761,                0.70475,                0.72243,                0.47658,                0.90527,                 0.6099,                 1.1353
                     25,                0.96707,                0.68529,                 1.1607,               0.007723,               0.007723,               0.007723,                0.74967,                0.71445,                0.72595,                0.47993,                 0.8995,                0.60401,                 1.1329
                     26,                0.96244,                0.67904,                 1.1595,               0.007624,               0.007624,               0.007624,                0.75556,                0.71767,                0.72961,                0.48205,                0.89691,                0.60052,                 1.1299
                     27,                0.96304,                0.67823,                 1.1565,               0.007525,               0.007525,               0.007525,                0.75873,                0.72021,                0.73369,                0.48596,                0.89354,                0.59517,                 1.1277
                     28,                0.95316,                0.67064,                 1.1518,               0.007426,               0.007426,               0.007426,                0.76313,                0.71834,                0.73616,                0.48825,                0.88918,                0.59161,                 1.1242
                     29,                0.94969,                0.66885,                 1.1498,               0.007327,               0.007327,               0.007327,                0.76397,                 0.7215,                 0.7361,                0.48855,                0.88648,                0.58869,                 1.1219
                     30,                0.94776,                0.66362,                 1.1474,               0.007228,               0.007228,               0.007228,                0.76469,                0.72343,                 0.7397,                0.49226,                0.88311,                0.58543,                 1.1196
                     31,                0.94542,                0.65939,                 1.1461,               0.007129,               0.007129,               0.007129,                0.76885,                0.72452,                0.74308,                 0.4942,                0.88177,                0.58185,                 1.1177
                     32,                0.94422,                0.65731,                  1.145,                0.00703,                0.00703,                0.00703,                0.76687,                0.72642,                0.74454,                0.49667,                0.87908,                0.57856,                 1.1158
                     33,                0.94153,                0.65383,                 1.1435,               0.006931,               0.006931,               0.006931,                0.77378,                0.72331,                0.74672,                0.49889,                0.87732,                0.57597,                 1.1143
                     34,                0.93837,                0.65184,                 1.1394,               0.006832,               0.006832,               0.006832,                0.77075,                0.72989,                0.74737,                 0.5002,                0.87527,                0.57369,                 1.1122
                     35,                0.93549,                0.64558,                 1.1388,               0.006733,               0.006733,               0.006733,                   0.77,                0.73101,                0.74804,                 0.5013,                 0.8738,                0.57192,                 1.1107
                     36,                0.92813,                0.64109,                 1.1333,               0.006634,               0.006634,               0.006634,                0.76649,                0.73684,                0.74959,                0.50265,                0.87235,                0.57046,                 1.1093
                     37,                0.92959,                0.64089,                 1.1338,               0.006535,               0.006535,               0.006535,                0.77167,                0.73498,                0.75139,                0.50388,                0.87106,                0.56866,                 1.1085
                     38,                0.92872,                0.63898,                 1.1332,               0.006436,               0.006436,               0.006436,                0.76998,                0.73761,                0.75267,                0.50508,                0.86909,                0.56676,                 1.1072
                     39,                0.92461,                0.63428,                 1.1301,               0.006337,               0.006337,               0.006337,                0.77312,                0.73646,                0.75368,                0.50615,                0.86738,                 0.5653,                  1.106
                     40,                0.92188,                0.63064,                 1.1299,               0.006238,               0.006238,               0.006238,                0.74702,                0.73825,                0.75492,                0.50754,                0.86644,                0.56399,                  1.105
                     41,                0.91831,                0.62989,                 1.1261,               0.006139,               0.006139,               0.006139,                0.74983,                0.73576,                0.75471,                0.50824,                0.86541,                0.56272,                 1.1042
                     42,                0.91856,                 0.6291,                 1.1264,                0.00604,                0.00604,                0.00604,                0.75051,                0.73794,                0.75612,                0.50906,                0.86461,                0.56167,                 1.1034
                     43,                 0.9178,                0.62559,                 1.1259,               0.005941,               0.005941,               0.005941,                 0.7523,                 0.7373,                0.75745,                0.50967,                0.86382,                0.56055,                 1.1027
                     44,                0.91356,                0.62095,                 1.1224,               0.005842,               0.005842,               0.005842,                0.75473,                 0.7368,                0.75849,                0.51078,                0.86296,                 0.5596,                  1.102
                     45,                 0.9119,                0.61997,                  1.121,               0.005743,               0.005743,               0.005743,                0.75218,                0.74024,                0.75909,                0.51104,                0.86237,                0.55861,                 1.1014
                     46,                 0.9089,                0.61644,                 1.1189,               0.005644,               0.005644,               0.005644,                 0.7802,                0.73989,                0.75917,                0.51151,                0.86158,                0.55761,                 1.1008
                     47,                0.90867,                0.61893,                 1.1197,               0.005545,               0.005545,               0.005545,                0.78057,                0.73991,                0.75975,                0.51193,                  0.861,                0.55687,                 1.1003
                     48,                0.90647,                0.61273,                 1.1175,               0.005446,               0.005446,               0.005446,                0.78011,                 0.7407,                0.76018,                 0.5126,                0.86026,                0.55575,                 1.0998
                     49,                 0.9014,                0.60926,                 1.1139,               0.005347,               0.005347,               0.005347,                0.77886,                0.74293,                0.76095,                0.51354,                0.85954,                0.55498,                 1.0992
                     50,                0.90152,                0.60886,                 1.1152,               0.005248,               0.005248,               0.005248,                 0.7788,                0.74365,                0.76158,                0.51413,                0.85886,                0.55399,                 1.0986
                     51,                0.90187,                0.60825,                 1.1139,               0.005149,               0.005149,               0.005149,                0.78037,                0.74284,                0.76188,                0.51504,                0.85829,                0.55327,                 1.0981
                     52,                0.89685,                0.60452,                 1.1103,                0.00505,                0.00505,                0.00505,                0.78043,                0.74347,                0.76257,                0.51555,                0.85772,                0.55251,                 1.0976
                     53,                0.89487,                 0.6018,                   1.11,               0.004951,               0.004951,               0.004951,                0.78019,                0.74432,                0.76311,                0.51596,                0.85716,                0.55172,                  1.097
                     54,                0.89874,                0.60422,                 1.1113,               0.004852,               0.004852,               0.004852,                0.78066,                0.74476,                0.76314,                0.51632,                 0.8567,                0.55087,                 1.0966
                     55,                0.89213,                0.59861,                 1.1063,               0.004753,               0.004753,               0.004753,                0.77985,                0.74597,                0.76365,                0.51689,                0.85613,                   0.55,                 1.0961
                     56,                0.88825,                0.59473,                 1.1049,               0.004654,               0.004654,               0.004654,                0.78011,                0.74729,                0.76408,                0.51747,                0.85559,                0.54919,                 1.0956
                     57,                0.89051,                 0.5945,                 1.1056,               0.004555,               0.004555,               0.004555,                  0.779,                0.74934,                 0.7642,                 0.5181,                0.85497,                0.54831,                 1.0951
                     58,                0.88495,                0.59169,                 1.1026,               0.004456,               0.004456,               0.004456,                0.77922,                0.75074,                0.76455,                0.51825,                0.85456,                0.54754,                 1.0947
                     59,                0.88313,                0.58778,                 1.1011,               0.004357,               0.004357,               0.004357,                0.78206,                0.74882,                0.76513,                0.51895,                0.85409,                0.54672,                 1.0943
                     60,                0.88176,                0.58665,                 1.0996,               0.004258,               0.004258,               0.004258,                0.78252,                0.74814,                0.76599,                0.51938,                0.85361,                0.54603,                 1.0939
                     61,                0.88075,                0.58684,                 1.1002,               0.004159,               0.004159,               0.004159,                 0.7858,                0.74604,                0.76643,                0.51976,                0.85305,                 0.5451,                 1.0934
                     62,                0.87897,                0.58504,                 1.0996,                0.00406,                0.00406,                0.00406,                 0.7848,                0.74825,                0.76708,                0.52041,                0.85255,                 0.5444,                 1.0929
                     63,                0.87604,                0.58142,                 1.0987,               0.003961,               0.003961,               0.003961,                0.78502,                0.74861,                0.76729,                0.52095,                0.85198,                0.54364,                 1.0924
                     64,                0.87238,                0.57743,                 1.0942,               0.003862,               0.003862,               0.003862,                0.78529,                0.74802,                0.76764,                0.52134,                0.85148,                0.54289,                 1.0919
                     65,                0.87442,                0.57805,                 1.0958,               0.003763,               0.003763,               0.003763,                0.78554,                0.74864,                 0.7679,                 0.5218,                0.85093,                0.54214,                 1.0914
                     66,                0.87321,                0.57659,                 1.0957,               0.003664,               0.003664,               0.003664,                0.78571,                0.75007,                0.76856,                0.52221,                0.85031,                 0.5413,                 1.0908
                     67,                0.87116,                0.57519,                 1.0963,               0.003565,               0.003565,               0.003565,                0.78641,                0.74957,                0.76891,                0.52308,                0.84973,                 0.5405,                 1.0903
                     68,                0.86924,                0.57211,                 1.0931,               0.003466,               0.003466,               0.003466,                0.78717,                0.75065,                0.76952,                0.52382,                0.84913,                0.53972,                 1.0898
                     69,                0.86794,                0.57435,                 1.0927,               0.003367,               0.003367,               0.003367,                0.78768,                 0.7507,                0.76991,                0.52422,                 0.8486,                0.53888,                 1.0893
                     70,                0.86848,                0.57134,                 1.0933,               0.003268,               0.003268,               0.003268,                0.79069,                0.74901,                0.77065,                0.52506,                0.84795,                0.53814,                 1.0888
                     71,                0.86394,                 0.5697,                 1.0902,               0.003169,               0.003169,               0.003169,                0.79134,                0.74983,                0.77103,                 0.5252,                0.84753,                0.53739,                 1.0884
                     72,                 0.8588,                0.56231,                 1.0868,                0.00307,                0.00307,                0.00307,                0.79363,                0.74953,                0.77175,                0.52575,                0.84688,                0.53654,                 1.0879
                     73,                0.86057,                0.56481,                 1.0883,               0.002971,               0.002971,               0.002971,                0.79424,                0.74922,                 0.7721,                0.52628,                0.84617,                 0.5357,                 1.0873
                     74,                0.86009,                0.56422,                 1.0851,               0.002872,               0.002872,               0.002872,                0.79582,                0.74882,                0.77256,                0.52697,                0.84558,                  0.535,                 1.0868
                     75,                0.85616,                0.56149,                 1.0832,               0.002773,               0.002773,               0.002773,                0.79679,                0.74981,                0.77322,                0.52733,                0.84507,                0.53424,                 1.0862
                     76,                0.85264,                0.55665,                 1.0821,               0.002674,               0.002674,               0.002674,                0.79687,                 0.7501,                0.77357,                0.52775,                0.84464,                0.53354,                 1.0858
                     77,                0.85052,                0.55645,                 1.0819,               0.002575,               0.002575,               0.002575,                0.79636,                0.75091,                0.77433,                0.52848,                0.84413,                0.53283,                 1.0853
                     78,                0.84903,                0.55468,                 1.0806,               0.002476,               0.002476,               0.002476,                0.79511,                0.75308,                0.77478,                0.52902,                 0.8435,                0.53207,                 1.0848
                     79,                0.85125,                0.55318,                 1.0811,               0.002377,               0.002377,               0.002377,                0.79614,                0.75318,                0.77516,                0.52964,                0.84298,                0.53129,                 1.0843
                     80,                0.84579,                 0.5502,                  1.078,               0.002278,               0.002278,               0.002278,                0.79666,                 0.7537,                0.77575,                0.53001,                0.84242,                0.53059,                 1.0838
                     81,                 0.8441,                0.54879,                 1.0776,               0.002179,               0.002179,               0.002179,                0.76961,                0.75482,                0.77626,                0.53056,                0.84192,                0.53006,                 1.0833
                     82,                 0.8449,                0.54672,                  1.078,                0.00208,                0.00208,                0.00208,                0.77226,                0.75346,                0.77682,                0.53128,                0.84134,                0.52944,                 1.0829
                     83,                0.83988,                0.54467,                 1.0732,               0.001981,               0.001981,               0.001981,                0.77228,                0.75392,                0.77747,                0.53147,                0.84095,                0.52883,                 1.0825
                     84,                 0.8378,                0.54163,                 1.0747,               0.001882,               0.001882,               0.001882,                0.77205,                0.75524,                0.77771,                0.53203,                0.84056,                0.52821,                  1.082
                     85,                 0.8387,                0.54192,                 1.0732,               0.001783,               0.001783,               0.001783,                0.77303,                0.75523,                0.77803,                0.53246,                0.84002,                0.52747,                 1.0815
                     86,                0.83886,                0.54071,                 1.0746,               0.001684,               0.001684,               0.001684,                 0.7727,                 0.7566,                0.77849,                0.53286,                0.83957,                0.52701,                 1.0811
                     87,                0.83573,                  0.539,                  1.074,               0.001585,               0.001585,               0.001585,                0.77294,                0.75697,                0.77894,                0.53352,                0.83909,                0.52639,                 1.0806
                     88,                0.83119,                0.53551,                 1.0681,               0.001486,               0.001486,               0.001486,                0.77618,                0.75563,                0.77923,                0.53391,                0.83868,                0.52577,                 1.0802
                     89,                0.82883,                0.53465,                 1.0688,               0.001387,               0.001387,               0.001387,                 0.7762,                0.75607,                0.77965,                0.53467,                0.83829,                0.52514,                 1.0797
                     90,                0.82814,                0.53317,                 1.0674,               0.001288,               0.001288,               0.001288,                0.77608,                0.75642,                0.78008,                0.53505,                 0.8378,                0.52463,                 1.0793
                     91,                0.80656,                0.49922,                 1.0586,               0.001189,               0.001189,               0.001189,                0.77575,                0.75728,                0.78098,                0.53557,                0.83735,                0.52408,                 1.0788
                     92,                0.79871,                0.49279,                 1.0554,                0.00109,                0.00109,                0.00109,                 0.7765,                 0.7581,                0.78137,                0.53593,                0.83678,                0.52346,                 1.0784
                     93,                0.79284,                0.48839,                  1.052,               0.000991,               0.000991,               0.000991,                 0.7764,                0.75879,                 0.7816,                0.53642,                0.83614,                0.52275,                 1.0779
                     94,                0.79181,                0.48705,                 1.0515,               0.000892,               0.000892,               0.000892,                0.77622,                0.75846,                0.78186,                0.53681,                0.83548,                0.52199,                 1.0774
                     95,                0.78831,                0.48322,                 1.0492,               0.000793,               0.000793,               0.000793,                0.77637,                0.75835,                0.78193,                0.53756,                0.83481,                0.52117,                 1.0769
                     96,                0.78516,                0.48086,                 1.0465,               0.000694,               0.000694,               0.000694,                0.77809,                0.75748,                0.78221,                0.53799,                0.83427,                0.52051,                 1.0764
                     97,                0.78213,                0.47806,                 1.0463,               0.000595,               0.000595,               0.000595,                 0.7766,                0.75946,                0.78281,                 0.5388,                0.83373,                0.51995,                 1.0759
                     98,                0.77812,                0.47531,                 1.0426,               0.000496,               0.000496,               0.000496,                0.77809,                0.75828,                0.78312,                0.53923,                0.83331,                0.51929,                 1.0755
                     99,                 0.7752,                0.47305,                 1.0397,               0.000397,               0.000397,               0.000397,                0.77905,                0.75837,                0.78347,                0.53947,                0.83281,                0.51868,                 1.0751
                    100,                0.77335,                0.47084,                 1.0404,               0.000298,               0.000298,               0.000298,                0.77974,                0.75883,                0.78376,                0.53974,                0.83235,                0.51796,                 1.0746
